ID;Pytania
87;Romantyczna kolacja ze świecami nie może obejść się bez ________.
88;Randka w ciemno była okropna dopóki nie odkryliśmy wspólnego zainteresowania: ________.
89;Proszę Pana, nie mogę przyjąć tej reklamacji! Maszyna do masażu nie powinna być używana do ________.
90;Skąd się wzięła ta plama na mojej kanapie?
91;Socjalistyczne rządy Skandynawii zadeklarowały, że dostęp do ________ jest podstawowym prawem człowieka.
92;Są tylko dwie rzeczy pewne w życiu: śmierć i ________.
93;Sekretem udanego związku jest rozmowa, rozmowa i jeszcze raz ________.
94;Siostro! Tracimy puls proszę podać ________.
95;Sir, znaleźliśmy Cię nagiego i nieprzytomnego po drugiej stronie ulicy. Co pamiętasz jako ostatnie?
96;Strach wiedzie do gniewu. Gniew wiedzie do Nienawiści. Nienawiść wiedzie do ________.
97;Świat nie istniałby bez ________.
98;To ptak! To samolot! Nie, to ________!
99;To czai się w nocy. To łaknie mięsa. Tego lata, nikt się nie schowa przed ________.
100;To jest rozkwit mojego życia. Jestem młoda, seksowna i pełna ________.
101;"Tutaj Mietek z księgowości. Zauważyliśmy rachunek na 4000 zł za ""________."" Możesz to wyjaśnić?"
102;Twoja stara jest taka gruba, że ________.
103;Twój upór jest godny pochwały mój drogi książę. Ale me serce zdobędziesz tylko przy pomocy ________.
104;Ten, kto ma władzę nad ________ ma władzę nad światem.
105;TV Mango prezentuje ________.
106;Tatusiu, dlaczego mama płacze?
107;Udana rozmowa kwalifikacyjna rozpoczyna się mocnym uściskiem dłoni, a kończy ________.
108;________. Niesamowite w teorii, gorzej w praktyce.
109;________: dobry do ostatniej kropli.
110;________? Istnieje aplikacja, która to robi.
111;________. Piątka stary!
112;________. Tak chcę umrzeć.
113;________. To pułapka!
114;________ jest najlepszym narzędziem w szwajcarskim scyzoryku.
115;________ jest pierwszym znakiem apokalipsy.
116;________ to jest to co lubię najbardziej.
117;________ to rozwiązanie każdego problemu.
118;________. Osiągnięcie odblokowane!
119;W czasie seksu lubię myśleć o ________.
120;W dzisiejszych czasach niegrzeczne dzieci zamiast rózgi dostają pod choinkę ________.
121;W jaki sposób udaje mi się utrzymać mój związek?
122;W nowym filmie Disneya Hannah Montana po raz pierwszy zmaga się z ________.
123;W nowym reality show MTV ośmiu celebrytów wprowadza się do domu z ________.
124;W więzieniu za 200 fajek dostaniesz ________.
125;Wojna! Jaki z niej pożytek?
126;Wycieczka szkolna została zrujnowana przez ________.
127;"W następnym odcinku ""Rozmów w toku"": Jak rozmawiać z dzieckiem o ________."
128;W nowym filmie akcji, Bogusław Linda musi walczyć z ninjami oraz ________.
129;W odległej przyszłości, historycy zgodzą się, że ________ to początek upadku Ameryki.
130;W przyszłym sezonie Szkoły Przetrwania, Bear Grylls musi przeżyć w głębokiej Amazonii tylko z ________ i jego rozumem.
131;W ramach zawartej z nim umowy, Michał Wiśniewski nie zaśpiewa bez ________ w jego garderobie.
132;W Rzymie krążą pogłoski, że w Watykanie znajduje się tajny pokój poświęcony ________.
133;W siódmym kręgu piekła, grzesznicy muszą znosić ________ przez całą wieczność.
134;W swoim liście pożegnalnym George Washington ostrzegł przed niebezpieczeństwem kryjącym się za ________.
135;W swoim najnowszym i najtrudniejszym wyczynie, David Cooperfield musi uciec z ________.
136;W swojej nowej kampanii turystycznej, miasto Łódź dumnie głosi, że w końcu wyeliminowano ________.
137;"W tym miesiącu w Cosmopolitan: ""Urozmaicić swoje życie seksualne, przynieś ________ do sypialni."""
138;Widzieliście kobietę z brodą! Widzieliście pierścień ognia! A teraz, panie i panowie, nacieszcie swoje oczy ________!
139;W dzisiejszych czasach dzieci mają obsesję na punkcie ________.
140;W co uczniowie bawią się podczas nudnych lekcji?
141;Wcale nie jestem podobny do Ciebie! Jestem za bogaty i zajęty ________.
142;W tym kraju nie witamy się lewą ręką. Tej ręki używamy do ________.
143;Wiesz kto jeszcze lubił ________? Hitler.
144;Gdy Faraon nie dawał się przekonać Mojżesz zesłał plagę ________.
145;Gdy USA ścigało się ze Związkiem Radzieckim na księżyc, rząd Meksyku wydał milion pesos na ________.
146;Garnitur od Armaniego: 4,000 zł. Kolacja dla dwojga w TEJ restauracji: 1500 zł. Wyraz jej twarzy kiedy zaskoczysz ją ________: bezcenny.
147;Gdy wszystko inne zawiedzie, zawsze mogę masturbować się do ________.
148;Głosowanie zakończone. Nową maskotką klubową jest ________.
149;Jestem pewien, że jestem teraz na haju, bo jestem absolutnie zauroczony ________.
150;Japończycy opracowali mniejszą, bardziej wydajną wersję ________.
151;Jak pójdziesz ze mną do łóżka, to Ci pokażę ________.
152;Jak straciłam swoje dziewictwo?
153;Jakie są dwie karty w twojej ręce, których chcesz się pozbyć?
154;Jeżeli za pierwszym razem Ci się nie uda, spróbuj ________.
155;Jak będę premierem, to stworze Ministerstwo ________.
156;Ja nie wierzę w Boga, ja wierzę w ________.
157;Jakiej nauczyłbym podwładnych dyscypliny, gdybym był królem?
158;Jak rekompensuję mojego malutkiego penisa?
159;Jaki temat wybrałeś na maturę?
160;Jak będę miliarderem, to wzniosę 50 metrowy pomnik na cześć ________.
161;Co będzie następną zabawką w zestawie Happy Meal®?
162;Co będzie następnym duetem superbohaterów?
163;Co Bogusław Linda jadł na obiad?
164;Co jest kolejną modną dietą?
165;Co jest moim narkotykiem?
166;Co jest moją supermocą?
167;Co jest najbardziej chrupiące?
168;Co jest najbardziej emo?
169;Co jest najlepszym przyjacielem kobiety?
170;Co pomaga Obamie się wyluzować?
171;Co powoduje u mnie gazy?
172;Co preferuje Janusz Korwin-Mikke?
173;Co przywiozłem z Turcji?
174;Co staje się lepsze z wiekiem?
175;Co tak pachnie?
176;Co to za dźwięk?
177;Co ukrywają przede mną rodzice?
178;Co USA wysłało dzieciom w Afganistanie?
179;Co zakończyło mój ostatni związek?
180;Co zawsze rozkręca imprezy?
181;Czego jest pełno w niebie?
182;Czego nie chcielibyście znaleźć w chińskim żarciu?
183;Czego wstydzi się Batman?
184;Czym śmierdzą starzy ludzie?
185;Co doprowadziło orgię do zastoju?
186;Co jest zabawne dopóki nie stanie się dziwne?
187;Co powoduje niezręczną sytuację w saunie?
188;Co robi Kamil Durczok jak zobaczy upierdolony stół?
189;Co ubiło mój wzwód?
190;Co utrudnia życie nudystom?
191;Co wyszło z mojego tyłka kiedy robiłem kupę?
192;Czemu jestem taki spłukany?
193;Cześć MTV! Mam na imię Izka, mieszkam w Warszawie, kręci mnie ________, i kocham się dobrze bawić.
194;Członkowie elity społecznej w Warszawie płacą tysiące złotych by tylko doświadczyć ________.
195;Człowieku, to jest gówno prawda. Pieprzyć ________!
196;Chcę umrzeć ze świadomością, że moja druga połówka zorganizuje na moim pogrzebie ________.
197;Chodzą plotki, że w Watykanie istnieje sekretny pokój do ________.
198;Chwała Ci Panie Nasz, stwórco wszechświata, któryś stworzył nam ________.
199;Co dałem mojemu przyjacielowi na 18 urodziny?
200;Co je prawdziwy student?
201;Co jest moim największym atrybutem?
202;Co mam w lodówce?
203;Co jest twoją największą słabością?
204;Co mnie ogrzewa podczas zimnej, naprawdę zimnej zimy?
205;Co musiałem zrobić, by dostać świadectwo z paskiem?
206;Co przyniosłeś ze sobą do pokazania?
207;Co Rosja podarowała dla Polski?
208;Co spowodowało wielką awanturę w moim domu?
209;Co to za ostry smak?
210;Co widzę?
211;Co zakończy problem rasizmu raz na zawsze?
212;Co znajduje się w moim niezbędniku gwałciciela?
213;Cóż... Jeżeli ________ jest przestępstwem – aresztuj mnie!
214;Czterej pancerni i ________.
215;Czym jest dla mnie miłość?
216;Czym się objawia piękno kobiet?
217;Czym walczę ze złem?
218;Aby przygotować się do nadchodzącej roli, Andrzej Grabowski musiał wejść w świat ________.
219;Antropologowie odkryli ostatnio starożytne plemię czczące ________.
220;A ósmego dnia Bóg stworzył ________.
221;Ale zanim pójdę chciałbym powiedzieć Ci: ________.
222;Biali ludzie lubią ________.
223;By przyciągnąć więcej gości, Muzeum Narodowe otworzyło interaktywny eksponat z ________.
224;Będąc w szkole średniej nie mogłem się dopasować do otoczenia, dopóki nie znalazłem klubu ________.
225;"Biega, krzyczy pan Hilary: ""Gdzie są moje ________?"""
226;Bracia, nasza siedziba została przejęta, a nasze dziwki wzięte do niewoli. Czas rozpocząć operację ________.
227;Badania wykazują, że myszy laboratoryjne pokonują labirynt 50% szybciej po kontakcie z ________.
228;Badanie opublikowane w Nature potwierdziło, że ________ jest dobre dla Ciebie w małych dawkach.
229;Bardzo mi przykro, ale regulamin zabrania ________ pod prysznicem.
230;Dowiedziałem się na własnej skórze, że ________ nie pocieszy przyjaciela w żałobie.
231;Dzisiaj w Faktach: Czego nie wiesz o ________ a mogło by cię zabić.
232;Dzwoń do kancelarii prawniczej, ponieważ nikt nie powinien tolerować ________ w miejscu pracy.
233;Drogie Bravo, mam problem z ________.
234;Do teatrów wchodzi musical o ________.
235;Dlaczego mój kot jest taki smutny?
236;Dlaczego Niemcy napadły na Polskę w 1939 roku?
237;Dlaczego płaczesz dziewczynko?
238;Dlaczego się śmieję i zdejmuję swoje ubrania?
239;Dlaczego w Polsce jest tak wysokie bezrobocie?
240;Dlaczego Ziemia jest płaska?
241;Dzisiejszą zupą dnia jest zupa krem z ________.
242;Na co zawsze można poderwać laskę?
243;Na żywo, tylko w Polsat Sport: cykl turniejów ________.
244;Nie wiem czym będzie się walczyć podczas trzeciej wojny światowej, ale podczas czwartej wojny światowej będzie się walczyć ________.
245;Najdroższy przywódco Kim Jong-un, nasza wieś chwali Twoją nieskończoną mądrość i pokornie ofiaruje ________.
246;Najgorszy dzień W ŻYCIU. # ________
247;Nauka nigdy nie wyjaśni ________.
248;Nie chcę się przechwalać, ale zwą mnie Adamem Małyszem ________.
249;Nie jestem taki jak wy. Jestem zbyt bogaty i zajęty ________.
250;Nie zadzieraj ze mną! W tym momencie jestem dosłownie ________.
251;Na co poszła moja pierwsza wypłata?
252;Na końcu to nie smok okazał się być złym, tylko ________.
253;Na moim ulubionym zdjęciu stoję z ________.
254;"Nie zapomnij! Od tego tygodnia “Luźne Piątki” zostaną zastąpione przez ""________ Piątki."""
255;Niechciany prezent, który ciągle zmienia właściciela?
256;Nowy film Krzysztofa Zanussiego opowiada historię upośledzonego dziecka pogodzonego z ________.
257;Na YouTube najbardziej lubię oglądać ________.
258;Najlepsze wakacje to ________.
259;Najlepszy podryw zaczyna się od słów ________.
260;Najpierw kino, potem kolacja, a na końcu ________.
261;Następną książką A. Sapkowskiego będzie „Wiedźmin: ________”
262;Nauka nigdy nie wyjaśni początków ________.
263;Nic nie powie „Kocham Cię” jak ________.
264;Nic nie przebije ________ w łóżku.
265;Nie możesz czekać w nieskończoność. Nadszedł czas, aby porozmawiać z twoim lekarzem o ________.
266;Nową gwiazdą występującą podczas Eurowizji będzie ________.
267;Nowo odkryty pierwiastek zawiera 25% czarnej materii i 75% ________.
268;Nowość! Nasz płyn do higieny intymnej zawiera wyciąg z ________.
269;Okazało się, że ________ -men nie był bohaterem, którego potrzebowaliśmy.
270;Ona przez całą noc lubi imprezować. Ja przez całą noc lubię ________.
271;Dobieram ________ i ruszam do walki!
272;Aby stać się prawdziwym wojownikiem Yanomamo, musisz udowodnić, że możesz się oprzeć ________ bez krzyczenia.
273;Alert Kalendarza Google: ________ za 10 minut.
274;Bardzo mi przykro ale regulamin zabrania ________ pod prysznicem.
275;Bruksela rozważa zalegalizowanie ________.
276;Choćbym prącie wsadził w blender, nie zrozumiem co to ________!
277;Co Amerykanie wysłali głodującym Afrykańczykom?
278;Co ja pacze?
279;Co jest najbardziej problematyczne?
280;Co jest powszechną walutą w więzieniu?
281;Co jest teraz tak ważne, że nie możesz zadzwonić do swojej matki?
282;Co masz do powiedzenia Janusz? To już trzeci raz kiedy jesteś u dyrektora za ________.
283;Co musiałem zrobić by dostać świadectwo z paskiem?
284;Co nie istnieje?
285;Co odziedziczę w spadku po rodzicach?
286;Co pamiętam po ostatniej imprezie?
287;Co powinno być nielegalne?
288;Co przeważyło szalę zwycięstwa podczas bitwy pod Grunwaldem?
289;Co się znajduje w moim niezbędniku gwałciciela?
290;Co spowodowało w moim domu wielką rodzinną awanturę?
291;Co spowodowało, że Sahara stała się pustynią?
292;Co sprawiło sąsiadowi kolejną nieprzespaną noc?
293;Co sprezentowałem mojemu przyjacielowi na osiemnastkę?
294;Co stoi na przeszkodzie aby na całym świecie zapanowała miłość?
295;Co ukrywam przed rodzicami?
296;Co uwielbiam w swojej pracy?
297;Co zmieniło mnie w republikanina?
298;Co zmusiło pilota samolotu do awaryjnego lądowania?
299;Czy ________ w sypialni to dziwactwo?
300;Czy się stoi, czy się leży - ________ się należy.
301;Czym zwabiam potencjalnych kochanków do mego domu?
302;Dalej dalej ________ Gadżeta!
303;Droga mamo i tato, Obóz jest fajny. Wczoraj jeden ze starszych kolegów nauczył mnie ________.
304;Drogie dzieci, dzisiaj nauczymy się czegoś o ________.
305;"Dzięki diecie ""________"" szybko i bezproblemowo udało mi się pozbyć 15 zbędnych kilogramów!"
306;Europejski Fundusz Społeczny gwarantuje ________ dzieciom z biednych regionów Europy. Człowiek - najlepsza inwestycja!
307;Frytki najlepiej smakują z ________.
308;Gdy Chiny i USA wysyłają człowieka na Marsa, rząd Zimbabwe przeznacza połowę swojego budżetu na ________.
309;Gdy dwóch się bije, tam ________ korzysta.
310;Gdy moja żona dowiedziała się że ją zdradziłem, pokazała mi ________
311;Jak nazwałem mojego penisa?
312;Jak powiedział Teddy Roosevelt, czterema męskimi cnotami są honor, wstrzemięźliwość, przemysł i ________.
313;Jak sobie zrobić darmowe Psycho-dropsy?
314;Jaka jest moja sekretna moc?
315;Jaka jest pańska specjalizacja doktorze?
316;Jako zadośćuczynienie za niewolnictwo wszyscy Afroamerykanie otrzymają ________.
317;Jestem dziwką, Jestem kochanką, Jestem dzieckiem, Jestem ________.
318;Jeszcze jedna rzecz. Uważaj na Big Joe'a. Mówią, że zabił człowieka przy użyciu ________.
319;Jezus jest ________.
320;Kiedy przybył do tego kraju, jedyne, co miał, to buty na nogach i ________.
321;Kobietę można szybko zaspokoić za pomocą ________.
322;LSD +________ = naprawdę zły czas.
323;Legenda opowiada o księżniczce, która spała od tysiąca lat i może zostać obudzona przez ________.
324;Mając już dość poezji i muzyki, nieśmiertelne elfy wypełniają teraz dni ________.
325;Mój pradziadek został wyrzucony ze szkoły mimów, gdy pokazał ________ podczas pantomimy.
326;Na pierwszej randce nie można zapomnieć o ________.
327;Na potęgę posępnego ________! Mocy przybywaj!
328;Najlepsze miejsce na randkę to ________.
329;Nareszcie! Firma, która dostarcza ________ prosto pod twoje drzwi.
330;Nasza miłość jest łatwa, bo jesteś ________.
331;Nauka nigdy nie wyjaśni pochodzenia ________.
332;Nazywam się Dżesika, mam 15 lat, mieszkam w Pcimiu Dolnym i moim hobby jest modeling oraz ________!
333;Nie miałem pojęcia, że zbiję majątek na ________.
334;Nie pozwolę Ci zrujnować mojego ślubu przez ________.
335;Nie uwierzysz, co jest w mojej cipce. To ________.
336;Nie widzisz? Żydzi stoją za wszystkim - bankami, mediami, nawet ________!
337;Nikt nie spodziewa się hiszpańskiej inkwizycji. Nasza główna broń to strach, niespodzianka i ________.
338;O czym śpiewają te wieloryby?
339;Ona jest po prostu jednym z chłopaków, wiesz? Lubi piwo, piłkę nożną i ________.
340;Opowieści z Narnii: Lew, Czarownica i ________.
341;Panie doktorze, pomocy! Mam ________ w cewce moczowej!
342;"Panie generale, nasi żołnierze są na pozycjach. Czas rozpocząć operację ""________""."
343;"Pewien mądry człowiek powiedział: ""Wszystko zależy od seksu. Z wyjątkiem seksu. Seks zależy od ________. """
344;Po zgonie w noc sylwestrową obudził mnie ________.
345;Podczas Ramadanu jestem zmuszony odpuścić sobie ________.
346;Podczas stosunku nie mogę przestać myśleć o ________.
347;"Polska marynarka wojenna zwodowała lotniskowiec ORP "" ________""."
348;"Polskie Radio ""Trójka"" zaprasza na debiutancki koncert zespołu ""________""."
349;Powodzianie zawsze mogą liczyć na sprawną organizację ________ przez polski rząd.
350;Pracuję 80 godzin tygodniowo i nadal nie stać mnie na ________.
351;Prawdziwego polaka poznasz po ________.
352;"Przed połknięciem swojej dumy i pigułki cyjankowej, Adolf szepnął do Evy: ""Przepraszam za ________""."
353;Przychodzi baba do lekarza a tam ________.
354;Przykro mi, proszę pana, ale pana plan ubezpieczeniowy nie obejmuje obrażeń spowodowanych przez ________.
355;Sześć rzeczy, na które nigdy nie mogłem sobie pozwolić: tlen, facebook, czekolada, netflix, przyjaciele i ________.
356;Sztuka to nie tylko obraz w dusznym muzeum. Sztuka jest żywa. Sztuka to ________.
357;To straszna szkoda, że wszystkie dzieci w dzisiejszych czasach mają do czynienia z ________.
358;Ty mówisz pomidor, Ja mówię ________.
359;Tylko szlachta może sobie pozwolić na ________.
360;Uwaga! Produkt może zawierać śladowe ilości orzechów arachidowych oraz ________.
361;W Wałbrzychu możesz dostać wpierdol za ________.
362;W latach pięćdziesiątych psychologowie zalecali ________ jako lekarstwo na homoseksualizm.
363;W ostatnich chwilach swego życia Michael Jackson myślał o ________.
364;W podstawówce notorycznie lądowałem na dywaniku dyrektora za ________.
365;W swoim nowym albumie własnej produkcji, Tede rapuje na dźwięki ________.
366;W szczęśliwym małżeństwie każdy dzień zaczyna się od pocałunku a kończy na ________.
367;"W urzędzie skarbowym musiałem się tłumaczyć z faktury na 8000zł zatyłuowanej ""________""."
368;Wojna! Do czego to jest dobre?
369;Wszyscy na ziemię! Nie chcemy nikogo skrzywdzić. Jesteśmy tu tylko po ________.
370;Wybuch elektrowni w Czarnobylu został wywołany aby ukryć ________ przed Amerykanami.
371;Z jednorazowym podarunkiem w wysokości zaledwie 10 zł możesz ocalić to dziecko od ________.
372;ZAJEBIŚCIE! Uwielbiam ________!
373;Za co wyleciałem z roboty?
374;Za jedyne 5zł zafundujesz ________ afrykańskim dzieciom na cały dzień.
375;Za moich czasów ________ było jedyną potrzebną rzeczą by świetnie się bawić.
376;Zaraz, przyjechałem tutaj, żeby kupić skarpetki. Jak skończyłem z ________?
377;________ było całkowicie warte traumy.
378;________ możecie kupić tylko w darkweb.
379;________: Dla Ciebie, dla Rodziny.
380;„________ w każdym polskim domu!”.
