ID;Odpowiedzi
481;Naziści.
482;Nauka.
483;Niemcy.
484;Niemieckie porno w lochach.
485;Nieodwzajemniony seks oralny.
486;Nierozmawianie z obcymi.
487;Niestosowne jodłowanie.
488;Niewyobrażalna głupota.
489;Niewyparzona buzia.
490;Noszenie bielizny na lewej stronie aby uniknąć prania.
491;Na przykład palenie koki.
492;Nadepnięcie klocka LEGO Bosą stopą.
493;Nadmiernie bujne i zapuszczone włosy.
494;Nagła przypadłość wybuchowego srania.
495;Najmniejszy cień dowodu, że Bóg istnieje.
496;Największe przeboje Krzysztofa Krawczyka.
497;Namiętna latynoska kochanka.
498;Nudny sex waginalny.
499;Napalony goblin i jego wesoły penis.
500;Napełnianie każdego otworu ciała budyniem karmelowym.
501;Narzekanie jak mała dziwka.
502;Nasmarowany olejkiem Rafał Maserak.
503;Nie uprawienie seksu.
504;Nie wsadzanie głęboko.
505;NIEEEEEEEEEEEE!!!
506;Nieograniczone zupy, sałatki i paluszki.
507;Nieopisana samotność.
508;Niepohamowana chęć uduszenia włóczęgi.
509;Nieudane obrzezanie.
510;Niepowstrzymana fala ognistych mrówek.
511;Niesamowity świat grzybów.
512;Niesprawny diabelski młyn toczący się w stronę morza.
513;Niezapomniana studniówka.
514;Niejednoznaczny sarkazm.
515;Nienasycona żądza krwi.
516;Niezła dupa!
517;Nieznacznie chujowszy równoległy wszechświat.
518;Niski poziom życia.
519;Noszenie okularów i brzmienie mądrze.
520;Noszenie ośmiornicy jako kapelusza.
521;Nowa płyta Comy.
522;Nowy chłopak mamy.
523;No ketchup, just sauce.
524;Naboje.
525;Nic nie znaczący seks.
526;Nie uprawianie seksu nigdy więcej.
527;Niesamowity czas picia i prowadzenia samochodu.
528;Nasze dziecko.
529;Niewyobrażalna liczba pająków.
530;Obciąganie dla wszystkich.
531;Oczy szalone od opium.
532;Odmładzająca Krzyśka Ibisza, szara, odżywcza papka.
533;Odmrożenie moszny.
534;Odpowiednie zajęcie się jej sutkami.
535;Odpowiedzialne picie.
536;Ogromne skandynawskie kobiety.
537;Opcje dla wegetarian.
538;Opętanie.
539;Orzeszki.
540;Osadzony na mieliźnie wieloryb.
541;Ostre światło dnia.
542;Ośmiu gejowskich władców świata mody.
543;Obciąganie w czasie jazdy autem.
544;Oblizywanie rzeczy, żeby oznaczyć je jako swoje.
545;Obowiązki małżeńskie.
546;Obżeranie się i wymiotowanie.
547;Ocenzurowane bukkake.
548;Ofiary wśród cywili.
549;Okradanie grobów.
550;Olaf Lubaszenko.
551;Olbrzymie lizaki.
552;Olewanie problemów trzeciego świata.
553;Opowiadanie dowcipów o żydach w nieodpowiednim momencie.
554;Opryszczka.
555;Oszukiwanie na olimpiadzie specjalnej.
556;Otyłość.
557;Odporność na wiedzę.
558;Ogólne nie posiadanie zielonego pojęcia co się dzieje.
559;Ogromna kolekcja dziecięcej pornografii.
560;Oglądanie jak umierasz.
561;Cała drużyna pływacka.
562;Całkowicie nowy rodzaj porno.
563;Cały Internet.
564;Chińskie porno bajki.
565;Cholerne promocje.
566;Chytra Baba z Radomia.
567;Cholerne hemoroidy.
568;Chyże osiąganie orgazmu.
569;Ciało ludzkie.
570;Ciepły, aksamitny seks pacynek.
571;Ciosy nunczakiem.
572;Co zrobiłby Jezus.
573;Coś naprawdę popierdolonego.
574;Coś w rodzaju człowieka-ptaka.
575;Cukierkowe szaleństwo.
576;Cycory nie z tego świata.
577;Czarnuch.
578;Czarnoskóry wampir.
579;Czarna połowa Baracka Obamy.
580;Cycuszki.
581;Czarny 20-letni mężczyzna, ostatnio widziany w bluzie z kapturem.
582;Czarny Power Ranger.
583;Czkawka.
584;Czosnkowy oddech.
585;Cztery ramiona Vishnu.
586;Centaury.
587;Cezary Pazura.
588;Charyzma.
589;Chińska drużyna gimnastyczna.
590;Chocapic.
591;Chwytające za serce sierotki.
592;Ciężko pracujący cygan.
593;Cud porodu.
594;Cios podbródkowy.
595;Cybernetyczne ulepszenia.
596;Cygańska klątwa.
597;Czas dla siebie.
598;Czekanie do ślubu.
599;Czyngis-chan.
600;Czystki etniczne.
601;Cios poniżej pasa.
602;Cokolwiek sobie życzysz, Mamusiu.
603;Chiny.
604;Czarnoskóry przyjaciel.
605;Cheeki Breeki.
606;Samosąd.
607;Scjentologia.
608;Seks niespodzianka.
609;Seksowne walki na poduszki.
610;Seppuku.
611;Ser topiony.
612;Serce dziecka.
613;Sędzia Anna Maria Wesołowska.
614;Skalpowanie.
615;Skręt jądra.
616;Słodka zemsta.
617;Smsowanie.
618;Spektakularne mięśnie brzucha.
619;Solówki na saksofonie.
620;Spodnie bez tyłka.
621;Sokół z czapką na głowie.
622;Spontaniczne samospalenie.
623;Spontanicznie wyrwanie się do tańca i śpiewu.
624;Sprośne SMSy.
625;Spuszczanie się do basenu dziecięcych łez.
626;Sranie tam i z powrotem W nieskończoność.
627;Status mojego związku.
628;Steven Hawking mówiący świństwa.
629;Strach w czystej postaci.
630;Strzelanie do swoich.
631;Studia.
632;Suche wymioty.
633;Szczeniaczki.
634;Szczękościsk.
635;Szkieletor.
636;Ściąganie koszulki.
637;Śmiercionośny laser.
638;Śląsk.
639;Samobiczowanie.
640;Samookaleczanie.
641;Samuel L Jackson.
642;Scena śmierci Mufasy.
643;Świństwa, z których robione są hamburgery z McDonalda.
644;Sekretna formuła ostatecznego zaspokojenia kobiety.
645;Seks kometa z Neptuna pogrążająca Ziemię w wiecznej seksualności.
646;Seks na wierzchu pizzy.
647;Seksowne bliźnięta syjamskie.
648;Seksowne szeptanie.
649;Sieć kłamstw.
650;Sieć restauracji Magdy Gessler.
651;Słowa, słowa, słowa.
652;Smoczek we krwi.
653;Smutny, gruby, nie mający przyjaciół smok.
654;Sosnowiec.
655;Specjalny gość muzyczny, Maryla Rodowicz.
656;Sperma.
657;Spocony, zdyszany dominator seksualny.
658;Spodnie w khaki.
659;Spojlery.
660;Spokojny i niegroźny rozwój Podkarpacia.
661;Spontaniczny taniec Konga.
662;Sposób by zarobić 6000 zł bez wychodzenia z domu.
663;Sposób bycia białych ludzi.
664;Sprzedawanie kupionych taniej rzeczy na Allegro.
665;Stara kurwica.
666;Statystycznie potwierdzone stereotypy.
667;Stos wijących się ciał.
668;Syndrom poobozowy.
669;Syndrom sztokholmski.
670;Systematyczne niszczenie wszystkich ludzi, i ich sposobu życia.
671;Szalone tricki podczas grania w Zośkę.
672;Szastanie kasą.
673;Szlam.
674;Szmata nasączona eterem.
675;Szukanie Walliego.
676;Szwadron moli noszących okulary lotnika.
677;Ślina.
678;Śmierć z rąk Stevena Seagala.
679;Średnio-mocny ból stawów.
680;Święty Mikołaj.
681;Schowek na miotły.
682;Słodcy chłopacy.
683;Sztuka.
684;SZEŚĆ CHOLERNYCH GODZIN PIERDOLONEJ DYPLOMACJI!!!!
685;Somsiad.
686;Darmowe próbki.
687;Darth Vader.
688;Dawanie z siebie 110%.
689;Delikatne pieszczoty wewnętrznej części uda.
690;Dezodorant AXE.
691;Dług publiczny.
692;Dokarmianie Magdy Gessler.
693;Dojrzewanie płciowe.
694;Dokładnie to czego się spodziewasz.
695;Donald Tusk.
696;Drożdże.
697;Duchy.
698;Dwóch karłów srających do wiadra.
699;Dzieci na smyczy.
700;Dzieci z rakiem odbytu.
701;Dzieci.
702;Dziecięce konkursy piękności.
703;Dziurawa prezerwatywa.
704;Dziurawe ręce.
705;Darmowe lody, joł.
706;Darmowy lodzik.
707;Dennis Rozrabiaka.
708;Depresja.
709;DNA Czyngis Chana.
710;Dopalony egzoszkielet.
711;Dopracowana krytyka.
712;Dosłownie jedzenie gówna.
713;Drugie terminy.
714;Drużyna pierścienia.
715;Drużyna prawników.
716;Duch Ojca Chrzestnego.
717;Dzień, w którym ptaki zaatakowały.
718;Dziewczyny, które wiecznie smsują.
719;Dżafar.
720;Dobre pytanie, też chciałbym to wiedzieć.
721;Do widzenia.
722;Donald Trump.
723;Dentysta.
724;Drzewa.
725;Dupna katastrofa.
726;Dużo, dużo aborcji.
727;Danie wegetariańskie.
728;Pac-man tryskający spermą w amoku.
729;Palcówka.
730;Palenie się.
731;Papież.
732;Paplanie.
733;Paradoks podróży w czasie.
734;Parowóz Tomek.
735;Pasywnoagresywne ogłoszenia.
736;Pedofile.
737;Petting.
738;Picie w samotności.
739;Pieczenie odbytu.
740;Piercing genitaliów.
741;Pierdzenie i odchodzenie.
742;Pierdzenie pochwą.
743;Piękni ludzie.
744;Piloci kamikaze.
745;Piły łańcuchowe zamiast rąk.
746;Piotr Adamczyk.
747;Pobudka na parkingu będąc na wpół nagim.
748;Pochwa Marii Czubaszek.
749;Poddaństwo.
750;Podrywanie dziewczyn w klinice aborcyjnej.
751;Pokój na świecie.
752;Policyjna przemoc.
753;Popuszczenie w majtki.
754;Porno z mackami.
755;Potajemne drapanie się po tyłku.
756;Potężne uda.
757;Pracownicy działu obsługi klienta.
758;Prawdziwe znaczenie świąt.
759;Problemy z erekcją.
760;Propaganda homoseksualna.
761;Przeciwstawne kciuki.
762;Przekazywanie dalej niechcianych prezentów.
763;Przerażające wypadki podczas laserowego usuwania włosów.
764;Przyjaciele z bonusem.
765;Przytulanie.
766;Pszczoły.
767;Ptaki nieloty.
768;Pterodaktyle jaja.
769;Publiczne ośmieszenie.
770;Puszczanie oczek do starszych ludzi.
771;Pan Kleks.
772;Pas tatusia.
773;Pełna micha sałatki ziemniaczanej.
774;Picie kilku Tigerów pod rząd aby mieć energię na cały tydzień.
775;Pierd.
776;Pierogi.
777;Pierre Dzoncy, królewski przydupas.
778;Piniata pełna skorpionów.
779;Piwne granaty.
780;Zapach Andrzeja Dudy.
781;Pidżama Porno.
782;Pluton do produkcji broni atomowej.
783;Pocałunek w usta.
784;Pochwa będąca portalem do innego wymiaru.
785;Podskakiwanie.
786;Podstawowa ludzka przyzwoitość.
787;Podwójna penetracja.
788;Policjant, który jednocześnie jest psem.
789;Polityczne grzęzawisko jakim jest Bliski Wschód.
790;Pompowanie dziecka co dziewięć miesięcy.
791;Poniżanie seksualne.
792;Posiadanie penisa.
793;Powstanie z grobu.
794;Potęga.
795;Powód żeby nie popełniać samobójstwa.
796;Posiadanie strzelb zamiast nóg.
797;Problemy intymne.
798;Prochy dziadka.
799;Prymitywny seks, jaki właśnie uprawiają twoi rodzice.
800;Przemoc, przekleństwa i trochę erotyki.
801;Pożarcie żywcem przez Magdę Gessler.
802;Prawdziwa jaszczurka, która strzela krwią z oczu.
803;Prawie dawanie pieniędzy bezdomnym.
804;Prezentacja w PowerPoint.
805;Przemyślanie każdego zachowania żeby nie wyjść na homoseksualistę.
806;Przepraszanie.
807;Przerwa wakacyjna!
808;Przezwyciężenie swojego ojca.
809;Pierdzenie podczas uprawiania jogi.
810;Podział obowiązków Ona zmywa, a ty dokładasz brudne talerze.
811;Poka sowę.
812;Podczas ostatniej Imprezy.
813;Prawo do bycia idiotą.
814;Potęga ciemnej strony Mocy.
815;Praca domowa.
816;Przytłaczająca samotność.
817;Puszka Pringles® pełna krzyków.
818;Hasanie.
819;Homoerotyczna scena gry w siatkówkę.
820;Hot-dogi za 1zł.
821;Huragan Katrina.
822;Hipsterzy.
823;Hipsterzy paleni w imię starożytnego niebiańskiego połączenia do gwiezdnej prądnicy w maszynerii nocy.
824;Igraszki.
825;Imprezowi cyganie.
826;Istnienie.
827;Zwolennicy Ku Klux Klanu.
828;Żart, który jest zbyt śmieszny by kobiety mogły go zrozumieć.
